cnpj_basico;cnpj;bairro;nome_fantasia;id_municipio;cep;cidade;sigla_uf;centroide;bairro
17256512;1,72565E+13;ALIPIO DE MELO;;3106200;30840300;Belo Horizonte;MG;POINT(-44.0006892 -19.8902539);AlIpio de Melo
17256512;1,72565E+13;ALPHAVILLE - LAGOA DOS INGLESES;;3144805;34018006;Nova Lima;MG;POINT(-43.9553477 -20.1625564);#N/D
17256512;1,72565E+13;ALTO DOS PASSOS;;3136702;36025020;Juiz de Fora;MG;POINT(-43.3457614 -21.7767218);#N/D
17256512;1,72565E+13;OURO PRETO;;3106200;31310490;Belo Horizonte;MG;POINT(-43.9855261 -19.8682685);Ouro Preto
17256512;1,72565E+13;ALTO DOS PASSOS;;3136702;36025020;Juiz de Fora;MG;POINT(-43.3457614 -21.7767218);#N/D
17256512;1,72565E+13;CENTRO;;3106200;30170120;Belo Horizonte;MG;POINT(-43.9419866 -19.9213597);Centro
17256512;1,72565E+13;PLANALTO;;3106200;31720300;Belo Horizonte;MG;POINT(-43.9536407 -19.8306832);Planalto
17256512;1,72565E+13;ALVORADA;;3118601;32042080;Contagem;MG;POINT(-44.079537 -19.9030673);#N/D
17256512;1,72565E+13;CENTRO;;3126109;35570000;Formiga;MG;POINT(-45.4272185 -20.4623459);Centro
17256512;1,72565E+13;BELVEDERE;;3106200;30320900;Belo Horizonte;MG;POINT(-43.9444425 -19.9748355);Belvedere
17256512;1,72565E+13;GUTIERREZ;;3106200;30441014;Belo Horizonte;MG;POINT(-43.9575239 -19.9327286);Gutierrez
17256512;1,72565E+13;ANA LUCIA;;3156700;34710138;Sabará;MG;POINT(-43.916858 -19.885003);#N/D
17256512;1,72565E+13;CENTRO;;3106200;30120080;Belo Horizonte;MG;POINT(-43.939253 -19.9163364);Centro
17256512;1,72565E+13;CENTRO;;3106200;30120064;Belo Horizonte;MG;POINT(-43.9405924 -19.9186469);Centro
17256512;1,72565E+13;ANGOLA;;3106705;32630050;Betim;MG;POINT(-44.1977982 -19.954012);#N/D
17256512;1,72565E+13;ANGOLA;;3106705;32603075;Betim;MG;POINT(-44.2098936 -19.9670452);#N/D
17256512;1,72565E+13;SANTO AGOSTINHO;;3106200;30190120;Belo Horizonte;MG;POINT(-43.9526172 -19.931375);Santo Agostinho
17256512;1,72565E+13;ARISTEU DA COSTA RIOS;;3152501;37558450;Pouso Alegre;MG;POINT(-45.931337 -22.250623);#N/D
17256512;1,72565E+13;LOURDES;;3106200;30170012;Belo Horizonte;MG;POINT(-43.9435456 -19.9254456);Lourdes
17256512;1,72565E+13;BARRA;;3143906;36884002;Muriaé;MG;POINT(-42.3716739 -21.1293716);#N/D
17256512;1,72565E+13;BETANIA;;3106200;30580003;Belo Horizonte;MG;POINT(-43.9904593 -19.9622616);BetAnia
17256512;1,72565E+13;ESTRELA DO ORIENTE;;3106200;30580353;Belo Horizonte;MG;POINT(-43.9902561 -19.961859);Estrela do Oriente
17256512;1,72565E+13;BRASILEIA;;3106705;32600298;Betim;MG;POINT(-44.2017655 -19.9717713);#N/D
17256512;1,72565E+13;CAICARA ADELAIDE;;3106200;30770362;Belo Horizonte;MG;POINT(-43.9746095 -19.9051583);CAICARA ADELAIDE
17256512;1,72565E+13;CAICARAS;;3106200;31250900;Belo Horizonte;MG;POINT(-43.9680369 -19.8890794);CaiCaras
17256512;1,72565E+13;CANAA;;3131307;35164192;Ipatinga;MG;POINT(-42.5521419 -19.462531);Canaa
17256512;1,72565E+13;CENTRO;;3122306;35500617;Divinópolis;MG;POINT(-44.8899523 -20.1462071);Centro
17256512;1,72565E+13;CENTRO;;3136702;36013010;Juiz de Fora;MG;POINT(-43.346963 -21.7598566);Centro
17256512;1,72565E+13;BELVEDERE;;3106200;30320600;Belo Horizonte;MG;POINT(-43.9357045 -19.9743188);Belvedere
17256512;1,72565E+13;NOVA SUISSA;;3106200;30421026;Belo Horizonte;MG;POINT(-43.9750986 -19.9295788);Nova Suissa
17256512;1,72565E+13;CARLOS PRATES;;3106200;30710010;Belo Horizonte;MG;POINT(-43.9557066 -19.9108683);Carlos Prates
17256512;1,72565E+13;CARLOS PRATES;;3106200;30110071;Belo Horizonte;MG;POINT(-43.9572733 -19.9219703);Carlos Prates
17256512;1,72565E+13;SION;;3106200;30320010;Belo Horizonte;MG;POINT(-43.938473 -19.9539967);Sion
17256512;1,72565E+13;BELVEDERE;;3106200;30320900;Belo Horizonte;MG;POINT(-43.9444425 -19.9748355);Belvedere
17256512;1,72565E+13;CARLOS PRATES;;3106200;30710010;Belo Horizonte;MG;POINT(-43.9557066 -19.9108683);Carlos Prates
17256512;1,72565E+13;ITAIPU;;3106200;30692460;Belo Horizonte;MG;POINT(-44.0499723 -19.9961453);Itaipu
17256512;1,72565E+13;CARNEIRINHOS;;3136207;35930002;João Monlevade;MG;POINT(-43.1662642 -19.8114766);#N/D
17256512;1,72565E+13;CASCATINHA;;3136702;36033310;Juiz de Fora;MG;POINT(-43.3644125 -21.7850903);#N/D
17256512;1,72565E+13;CENTRO;;3132404;37500038;Itajubá;MG;POINT(-45.4541948 -22.4245401);Centro
17256512;1,72565E+13;CEASA;;3118601;32145480;Contagem;MG;POINT(-44.0395042 -19.9169802);#N/D
17256512;1,72565E+13;NOVA SUISSA;;3106200;30421124;Belo Horizonte;MG;POINT(-43.9766052 -19.9312922);Nova Suissa
17256512;1,72565E+13;CENTRO RESIDENCIAL;;3130101;32900000;Igarapé;MG;POINT(-44.2999506 -20.0711891);#N/D
17256512;1,72565E+13;CENTRO;;3106200;30190060;Belo Horizonte;MG;POINT(-43.94281 -19.9207192);Centro
17256512;1,72565E+13;CENTRO;;3106200;30180110;Belo Horizonte;MG;POINT(-43.9447513 -19.9215436);Centro
17256512;1,72565E+13;CENTRO;;3106200;30180110;Belo Horizonte;MG;POINT(-43.9447513 -19.9215436);Centro
17256512;1,72565E+13;CENTRO;;3118304;36400001;Conselheiro Lafaiete;MG;POINT(-44.0223401 -19.9656424);Centro
17256512;1,72565E+13;CENTRO;;3118304;36400001;Conselheiro Lafaiete;MG;POINT(-44.0223401 -19.9656424);Centro
17256512;1,72565E+13;CEU AZUL;;3106200;31580000;Belo Horizonte;MG;POINT(-43.9965932 -19.8233924);Ceu Azul
17256512;1,72565E+13;CIDADE INDUSTRIAL;;3118601;32210110;Contagem;MG;POINT(-44.0331177 -19.9592817);#N/D
17256512;1,72565E+13;CENTRO;;3136702;36010121;Juiz de Fora;MG;POINT(-43.3465285 -21.7622218);Centro
17256512;1,72565E+13;FLORAMAR;;3106200;31742084;Belo Horizonte;MG;POINT(-43.9351053 -19.8350915);Floramar
17256512;1,72565E+13;DOM JOAQUIM;;3106200;31170678;Belo Horizonte;MG;POINT(-43.9237734 -19.8739573);Dom Joaquim
17256512;1,72565E+13;CIDADE INDUSTRIAL;;3118601;32210110;Contagem;MG;POINT(-44.0331177 -19.9592817);#N/D
17256512;1,72565E+13;CIDADE INDUSTRIAL;;3118601;32210110;Contagem;MG;POINT(-44.0331177 -19.9592817);#N/D
17256512;1,72565E+13;CENTRO;;3129806;32400221;Ibirité;MG;POINT(-44.0585361 -20.0218327);Centro
17256512;1,72565E+13;CIDADE NOBRE;;3131307;35162410;Ipatinga;MG;POINT(-42.5611336 -19.4632323);#N/D
17256512;1,72565E+13;COLEGIO BATISTA;;3106200;31110150;Belo Horizonte;MG;POINT(-43.9367356 -19.9084829);Colegio Batista
17256512;1,72565E+13;CORACAO DE JESUS;;3106200;30535460;Belo Horizonte;MG;POINT(-43.9895752 -19.9258916);CORACAO DE JESUS
17256512;1,72565E+13;CORACAO DE JESUS;;3106200;30380380;Belo Horizonte;MG;POINT(-43.9535115 -19.9467666);CORACAO DE JESUS
17256512;1,72565E+13;DA GLORIA;;3118601;32310000;Contagem;MG;POINT(-44.0419545 -19.9425953);#N/D
17256512;1,72565E+13;ELDORADO;;3118601;32315000;Contagem;MG;POINT(-44.0527401 -19.9385161);#N/D
17256512;1,72565E+13;ELDORADO;;3118601;32310000;Contagem;MG;POINT(-44.0419545 -19.9425953);#N/D
17256512;1,72565E+13;ELDORADO;;3167202;35702153;Sete Lagoas;MG;POINT(-44.2770275 -19.4753003);#N/D
17256512;1,72565E+13;FERNAO DIAS;;3106200;31910252;Belo Horizonte;MG;POINT(-43.9210749 -19.8698773);Fernao Dias
17256512;1,72565E+13;CENTRO;;3146107;35400000;Ouro Preto;MG;POINT(-43.5035777 -20.3855743);Centro
17256512;1,72565E+13;FILADELFIA;;3106705;32670248;Betim;MG;POINT(-44.1854408 -19.9650867);#N/D
17256512;1,72565E+13;VENDA NOVA;;3106200;31615310;Belo Horizonte;MG;POINT(-43.9622259 -19.8133441);Venda Nova
17256512;1,72565E+13;FLORESTA;;3106200;30150100;Belo Horizonte;MG;POINT(-43.9317934 -19.9183649);Floresta
17256512;1,72565E+13;CENTRO;;3107109;37170000;Boa Esperança;MG;POINT(-45.5629752 -21.0928433);Centro
17256512;1,72565E+13;CENTRO;;3104007;38183192;Araxá;MG;POINT(-46.9366446 -19.5968163);Centro
17256512;1,72565E+13;CENTRO;;3133808;35680037;Itaúna;MG;POINT(-44.5788296 -20.0761767);Centro
17256512;1,72565E+13;FLORESTA;;3106200;31015172;Belo Horizonte;MG;POINT(-43.9292097 -19.9131122);Floresta
17256512;1,72565E+13;FLORESTA;;3106200;31110050;Belo Horizonte;MG;POINT(-43.9323068 -19.9079808);Floresta
17256512;1,72565E+13;FLORESTA;;3106200;31015434;Belo Horizonte;MG;POINT(-43.9284218 -19.9082167);Floresta
17256512;1,72565E+13;FLORESTA;;3106200;31030010;Belo Horizonte;MG;POINT(-43.9236918 -19.9021395);Floresta
